Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2604,115,28,42,15,1537,254,200,53,1100,Commanche,C4758,1
2200,317,21,285,136,626,160,217,194,481,Cache,C4703,2
3286,277,11,256,68,3421,189,242,193,1907,Rawah,C7745,0
2213,334,26,42,15,828,151,196,178,335,Cache,C4703,2
2860,247,19,85,14,5214,178,251,207,503,Rawah,C7745,1
3147,126,12,162,-5,1290,240,231,119,1181,Rawah,C7745,1
3235,130,14,391,97,750,243,231,114,2232,Rawah,C7201,1
2809,232,11,30,0,1548,202,250,185,2389,Rawah,C7102,1
3200,68,19,277,66,834,236,199,87,5235,Neota,C7201,0
2568,156,11,258,70,953,233,241,138,1282,Commanche,C2703,2
3092,342,15,212,49,2910,187,215,167,2359,Commanche,C7755,0
3495,263,20,234,93,3087,168,246,215,1793,Rawah,C8776,0
3073,92,18,30,10,1597,245,210,89,3150,Commanche,C7202,0
3163,223,8,30,-4,768,210,248,174,2396,Neota,C7202,0
2908,229,5,0,0,2353,212,245,169,277,Commanche,C7202,0
2115,252,32,182,69,212,134,242,234,876,Cache,C2702,2
3076,131,14,134,27,3357,242,232,116,750,Rawah,C7745,0
2587,180,15,190,-14,2604,224,248,152,2165,Commanche,C2703,1
2845,245,20,371,199,1183,174,251,211,1698,Commanche,C7757,1
3123,49,10,384,64,1830,224,219,128,3371,Commanche,C7700,0
2151,11,13,0,0,1449,206,213,143,799,Cache,C2705,2
2844,319,29,277,111,3483,134,200,199,1345,Rawah,C7745,1
2988,120,8,532,16,5442,234,234,132,6466,Rawah,C7745,0
2799,144,11,270,-2,815,236,238,132,2272,Rawah,C7746,1
3152,350,12,60,14,1140,198,220,160,2240,Rawah,C7201,1
3079,34,21,390,36,1124,211,189,105,2089,Commanche,C7700,0
2206,123,24,67,22,1040,252,214,75,1252,Cache,C2704,3
2978,58,4,30,-3,3980,223,230,143,5381,Rawah,C7745,1
2787,34,14,127,5,859,217,210,125,3012,Commanche,C7700,0
3185,305,10,607,48,2026,194,235,181,616,Commanche,C7202,0
3189,315,16,180,46,4723,176,226,189,1036,Rawah,C7201,0
2856,88,18,67,10,1144,244,209,88,2347,Commanche,C7755,1
3253,48,11,175,52,3118,224,215,123,2318,Rawah,C7745,0
2985,25,16,283,46,6149,211,204,126,3824,Rawah,C7700,0
3004,38,13,295,8,1036,219,210,123,1674,Commanche,C7756,0
3308,13,10,459,84,2818,210,219,145,3315,Commanche,C7756,6
2857,69,20,182,40,1530,237,198,84,2610,Commanche,C7757,1
3340,324,19,323,8,1442,169,216,186,2016,Neota,C8771,0
3101,52,6,420,100,1972,223,227,140,2783,Commanche,C7756,0
2712,17,24,366,-29,2880,192,182,118,2457,Commanche,C4703,0
3346,45,11,450,111,3113,223,217,127,3334,Commanche,C7756,6
3241,83,6,42,2,5622,228,230,137,860,Rawah,C8771,1
3146,118,22,624,-48,607,251,214,79,1092,Neota,C7101,1
3001,317,16,543,81,5138,175,224,188,1756,Rawah,C7745,1
2795,356,13,67,9,2518,198,216,155,3785,Rawah,C4744,1
2867,14,13,192,23,3542,207,213,141,5371,Rawah,C7745,1
2607,296,15,335,133,569,177,234,198,484,Commanche,C2703,1
3442,62,21,646,8,2538,233,193,83,2012,Rawah,C8776,0
3230,352,12,524,29,1776,199,220,158,458,Commanche,C7201,0
2999,148,12,175,18,1682,235,239,133,1353,Rawah,C7745,0
3012,28,6,242,23,1638,218,228,146,1776,Rawah,C7201,1
3371,270,1,457,32,990,216,238,160,2315,Commanche,C7756,0
2862,354,18,212,12,700,188,206,154,1302,Commanche,C7756,1
3025,89,10,323,56,5267,235,224,120,932,Rawah,C7746,1
2240,347,34,175,129,658,135,164,153,256,Cache,C4703,2
2077,4,21,216,79,467,188,196,141,671,Cache,C4703,5
3401,188,8,794,-51,1252,221,247,159,4097,Neota,C8771,0
3190,198,14,400,39,2412,215,251,167,934,Rawah,C7201,0
3376,201,12,551,176,2543,214,251,169,792,Commanche,C7756,0
2707,333,28,150,51,1559,143,191,180,1400,Commanche,C7700,1
3212,118,5,162,10,2470,228,236,142,1390,Commanche,C7202,1
2833,22,12,706,103,30,212,214,137,1248,Commanche,C4704,1
2897,78,22,170,40,4277,242,195,73,3423,Rawah,C7745,0
3026,129,3,30,-5,2272,225,237,147,3281,Rawah,C7202,0
2815,13,8,212,22,1731,213,225,149,1441,Rawah,C4744,1
3352,0,19,551,111,990,189,201,147,664,Rawah,C8772,0
3235,4,13,382,84,2357,202,214,148,2577,Commanche,C7700,0
2985,108,5,272,33,4388,228,234,141,1892,Rawah,C7746,1
2980,150,31,297,33,513,241,221,84,1518,Rawah,C7746,1
3193,79,5,258,15,5475,226,231,139,2865,Rawah,C7202,1
3054,158,7,85,9,2432,228,241,147,3739,Rawah,C7202,0
3054,43,8,1082,256,3073,222,222,136,973,Commanche,C7756,1
2999,302,7,228,35,2836,200,237,177,716,Commanche,C7756,0
2288,18,22,295,136,437,196,187,120,1560,Cache,C4703,2
2588,152,10,182,47,277,233,240,138,1654,Rawah,C7746,1
2861,48,7,408,82,1371,223,224,136,2791,Commanche,C7702,1
2891,46,24,300,121,3660,219,179,82,2669,Rawah,C7745,1
2854,69,13,234,17,3837,233,214,110,6107,Rawah,C4744,1
2758,131,5,108,27,1505,228,237,144,2325,Rawah,C4744,1
3076,0,22,967,-68,1099,183,194,144,1560,Commanche,C7700,0
2659,99,15,408,47,725,243,219,101,1436,Rawah,C7746,1
2517,25,9,256,59,721,216,221,141,979,Commanche,C2703,5
3335,79,11,607,44,1940,235,220,115,2866,Neota,C7202,1
2909,187,21,67,9,1992,217,250,156,2123,Commanche,C7757,1
3175,161,14,190,30,1116,233,242,136,1974,Neota,C7202,0
2615,97,15,324,71,1001,243,217,99,1455,Rawah,C7746,1
3100,170,7,481,-17,2242,225,243,152,1668,Commanche,C7756,1
2727,80,5,0,0,1209,227,230,137,1931,Commanche,C7102,0
2882,45,15,365,63,1570,223,205,112,2830,Commanche,C7757,1
3177,1,17,313,60,371,194,206,148,1584,Commanche,C7700,0
2916,247,8,309,13,5435,203,246,181,3849,Rawah,C7202,1
2921,335,17,300,98,319,178,214,174,1452,Rawah,C7746,1
2885,82,13,30,5,3607,237,218,109,5033,Rawah,C7746,0
3278,276,13,30,3,2992,185,242,197,693,Commanche,C7202,0
2538,211,20,150,45,914,199,254,184,778,Commanche,C2703,2
2824,61,6,492,36,934,225,228,137,1443,Commanche,C4704,0
2674,138,16,170,57,1839,243,233,113,1333,Rawah,C7746,1
2879,8,14,335,45,849,202,211,144,1254,Commanche,C7757,1
3116,32,17,190,41,3800,214,200,117,2056,Commanche,C7700,0
3017,218,15,319,79,3166,202,253,184,1092,Commanche,C7756,1
2766,87,9,420,2,684,234,224,121,514,Commanche,C4704,1
2949,155,10,277,30,5354,231,241,141,3708,Rawah,C7745,1
3188,355,17,247,56,600,191,208,154,1860,Neota,C8772,0
2622,19,26,306,95,700,190,175,110,680,Commanche,C7757,1
3294,69,17,540,8,4097,236,204,94,2610,Rawah,C8776,0
2902,127,7,430,65,3031,232,236,136,2137,Rawah,C4744,1
3227,352,7,60,8,5919,208,228,158,553,Rawah,C7202,0
3655,95,23,1034,400,2577,249,199,66,1172,Rawah,C8776,0
3243,257,8,658,112,1966,202,245,181,2147,Commanche,C7755,0
2740,141,19,180,39,1703,244,232,109,2337,Commanche,C2705,1
3250,90,12,376,45,3158,239,220,110,4609,Rawah,C8776,0
2868,97,10,0,0,5547,236,226,120,911,Rawah,C7202,1
2666,137,10,283,12,1213,236,236,131,430,Rawah,C7202,1
3049,104,4,170,1,2894,226,234,143,741,Rawah,C7202,1
2972,90,9,124,16,4213,235,225,121,874,Rawah,C7745,1
2977,130,16,395,34,2631,244,229,109,2579,Commanche,C7702,1
3310,6,9,571,49,3695,209,222,151,3926,Rawah,C7745,0
2832,69,6,190,3,2926,226,228,136,4348,Rawah,C7745,1
3318,345,10,170,4,3034,200,224,163,2251,Rawah,C8772,6
3218,326,24,331,20,900,153,205,187,1434,Neota,C7700,1
3131,168,19,153,15,2431,231,244,136,3266,Commanche,C7757,1
3412,86,22,443,130,2297,246,198,71,2457,Rawah,C8772,0
3209,171,5,722,-1,999,223,242,154,2200,Commanche,C7757,1
2997,9,17,787,128,2435,198,204,140,1501,Commanche,C7700,1
3024,111,11,256,3,3647,238,229,119,2665,Rawah,C7746,0
2841,355,14,150,34,1473,196,214,155,1959,Commanche,C7755,5
3239,261,3,459,66,2989,212,241,166,949,Commanche,C7756,1
2257,312,28,295,96,759,133,206,208,547,Cache,C4703,2
2750,40,12,474,30,60,221,214,126,720,Commanche,C6102,4
3233,26,16,120,26,2334,211,203,124,1131,Rawah,C7201,0
2512,151,15,30,8,1348,238,239,126,1239,Commanche,C2705,2
2077,286,40,192,176,216,83,204,244,234,Cache,C4703,2
3142,144,14,408,29,3544,239,236,123,3211,Rawah,C7745,1
2475,180,1,242,41,618,219,239,157,1315,Cache,C2717,5
2316,132,28,541,153,1471,251,213,70,997,Cache,C2703,3
3298,288,2,90,6,3063,213,239,164,780,Commanche,C7756,0
3268,0,13,192,36,2151,200,215,152,2536,Rawah,C7745,0
2989,203,10,42,2,1400,215,249,168,323,Commanche,C4758,0
2595,129,6,218,64,900,231,236,138,127,Rawah,C7745,1
3017,11,22,192,33,175,190,189,129,1243,Commanche,C7700,1
2616,24,17,270,65,1588,208,200,124,1624,Commanche,C4703,1
2900,174,10,0,0,2040,226,245,152,2105,Commanche,C7757,1
2816,225,12,134,35,2030,204,251,182,1822,Commanche,C4758,1
3402,0,3,492,113,1233,215,234,156,2860,Commanche,C7756,0
3031,22,4,85,6,5006,217,230,150,2620,Rawah,C7202,0
2589,356,7,268,63,384,209,228,157,957,Cache,C2717,2
2744,207,25,218,8,1040,195,253,182,666,Commanche,C2704,1
2528,310,16,30,6,1597,174,227,192,1590,Commanche,C4758,5
3336,318,16,272,4,1527,175,223,187,2033,Neota,C8771,0
3007,13,17,540,86,1498,202,204,136,421,Commanche,C7755,0
2915,74,10,247,51,3181,233,220,119,2430,Rawah,C4744,1
2739,46,14,268,39,2200,224,208,115,2190,Rawah,C7745,1
2962,225,7,716,66,6102,210,247,174,5716,Rawah,C7102,1
2804,299,20,30,15,1864,161,229,206,1190,Commanche,C7202,4
2984,276,6,42,5,5611,203,241,178,2107,Rawah,C7201,0
2346,98,14,42,10,1392,242,220,105,309,Cache,C2717,2
3183,67,15,258,51,618,234,208,102,5427,Neota,C7202,0
3106,311,9,395,52,2338,196,234,178,2205,Commanche,C7756,0
2346,141,21,108,47,900,246,229,101,842,Cache,C2704,2
2798,88,8,268,-8,1107,233,227,126,2605,Rawah,C7745,1
2645,30,20,85,21,649,209,191,110,1237,Commanche,C7757,1
3212,178,12,404,121,256,225,247,152,3171,Neota,C7201,1
2803,123,12,30,1,3494,240,231,120,1832,Commanche,C7756,1
3140,190,16,272,70,1974,218,251,161,426,Commanche,C7756,1
3038,142,5,108,15,3029,228,239,144,1320,Commanche,C7756,1
3089,165,28,360,74,1879,231,235,115,1201,Rawah,C7745,0
3242,22,9,361,147,5044,214,220,141,1861,Rawah,C7745,0
3206,306,16,484,96,1167,173,229,195,2718,Commanche,C7756,0
3141,63,11,268,-38,1989,230,218,121,1650,Rawah,C7745,0
3156,181,18,150,44,2821,223,248,151,1172,Commanche,C7202,1
3165,316,17,618,26,2006,174,224,189,454,Commanche,C7757,0
3221,348,18,402,25,1550,183,207,160,2234,Commanche,C8772,0
3010,5,23,150,43,2400,184,189,136,1195,Commanche,C7201,0
2938,61,24,134,44,5578,232,184,72,1218,Rawah,C7746,1
3012,21,8,270,69,1742,215,223,145,2418,Commanche,C7756,1
3276,241,10,42,1,2951,202,248,184,618,Commanche,C7201,0
2415,108,29,256,93,309,254,192,44,819,Commanche,C2705,2
3086,290,6,400,69,1548,204,239,174,994,Commanche,C7756,1
2863,320,25,124,62,134,149,208,195,633,Rawah,C7745,1
2791,292,17,247,72,2563,171,235,203,67,Commanche,C7757,1
3425,210,11,342,30,2807,211,251,174,1974,Commanche,C8771,0
3296,72,9,0,0,1368,231,223,125,1445,Rawah,C8703,0
2966,26,6,153,20,1718,217,227,146,1976,Commanche,C7756,1
3101,36,30,306,115,2240,203,161,75,4155,Rawah,C7745,0
2818,61,27,134,-11,256,231,174,60,1652,Rawah,C7746,1
3000,83,8,95,0,2930,231,227,128,1710,Commanche,C7202,0
3074,249,3,531,-52,2315,212,242,167,1537,Commanche,C7756,1
3158,138,7,218,22,518,231,238,139,2613,Neota,C7202,0
3233,230,4,573,78,2135,214,243,166,1931,Commanche,C7755,0
3153,24,9,323,31,1973,215,220,141,2738,Commanche,C7700,0
2929,68,9,175,29,1087,230,221,124,2256,Commanche,C7756,1
3037,15,18,339,9,2399,201,199,131,2907,Commanche,C7755,1
3234,90,3,592,62,4400,224,234,146,2529,Rawah,C7745,0
2940,95,6,30,-2,607,229,231,136,1871,Rawah,C7745,1
3060,92,18,153,26,3919,245,210,88,4054,Rawah,C7745,1
2808,12,17,42,4,752,200,203,136,395,Commanche,C7755,1
2965,356,10,418,70,853,204,223,156,1890,Commanche,C7756,0
2443,298,27,285,149,716,134,219,220,1226,Cache,C4703,5
2508,290,18,134,44,684,168,235,206,607,Cache,C4703,1
2901,95,8,30,-6,3461,234,228,126,4244,Rawah,C7202,1
2497,307,16,301,72,391,175,229,194,1782,Cache,C4703,2
2898,6,17,42,7,769,196,204,142,1978,Rawah,C7745,0
3045,102,7,395,65,1343,232,231,132,2521,Rawah,C7745,1
2945,98,12,30,4,1849,239,223,113,1071,Rawah,C7745,0
3198,45,11,474,66,3118,223,216,126,3603,Rawah,C7745,0
2905,85,19,277,78,1084,244,204,82,342,Rawah,C7746,4
2846,48,18,90,-28,192,224,199,103,1441,Rawah,C7745,0
3259,241,9,350,-15,2746,204,248,181,466,Commanche,C7202,0
2872,303,16,175,39,2446,174,230,196,2271,Rawah,C7745,1
3067,351,22,391,-1,1033,175,196,155,3332,Commanche,C7700,1
3219,324,8,30,-3,4051,199,231,172,1290,Rawah,C7201,0
2738,36,13,577,138,1560,219,211,126,2388,Rawah,C4744,1
2795,308,5,277,14,2274,205,237,171,1966,Rawah,C4744,1
3432,232,27,382,177,3267,166,252,213,591,Rawah,C8772,0
2729,307,12,67,1,1899,186,233,186,659,Commanche,C7755,4
2567,37,10,150,16,1100,220,219,133,4965,Rawah,C7746,1
3223,235,18,0,0,3171,186,253,201,469,Commanche,C7756,0
2942,49,16,162,33,4621,225,203,108,4522,Rawah,C7202,0
3424,141,21,323,195,3721,246,229,101,3114,Commanche,C8772,6
3013,29,12,127,26,1101,216,213,132,2032,Commanche,C7756,0
2597,69,8,120,-4,1507,229,224,128,1124,Commanche,C2703,2
2722,20,15,42,5,2544,208,207,133,5289,Rawah,C4744,1
2666,114,18,450,54,741,248,218,91,1471,Rawah,C7746,1
3068,310,17,240,-6,2264,170,226,195,1167,Commanche,C7202,0
2836,342,25,124,38,1259,162,195,167,1674,Commanche,C7700,0
3357,218,13,60,6,2790,206,252,180,607,Commanche,C8771,6
3138,126,4,162,4,4216,227,237,144,1761,Rawah,C7202,1
3029,45,12,60,7,2016,223,213,122,1405,Rawah,C7745,1
2989,82,16,60,14,1894,240,211,96,3680,Rawah,C7745,0
3069,24,10,42,3,1390,215,218,140,1742,Commanche,C7756,0
2908,70,13,335,44,2960,234,213,108,2536,Rawah,C4744,1
2905,205,28,60,23,1813,191,251,179,1213,Commanche,C7757,1
3002,186,23,150,30,690,217,249,153,1531,Commanche,C7757,1
3005,246,19,95,11,1355,177,251,208,2640,Commanche,C7201,0
3191,22,11,543,49,2856,213,217,139,4802,Rawah,C8772,0
3537,290,24,285,186,3331,146,229,219,1348,Rawah,C8776,0
3217,336,10,42,-7,3985,198,226,168,1366,Rawah,C7201,0
2350,272,22,335,97,366,155,240,221,660,Cache,C4703,2
2893,66,18,511,-34,685,235,201,91,2384,Rawah,C7745,1
3111,126,19,295,-7,1974,248,224,96,1910,Commanche,C4758,1
3031,151,16,638,32,5431,238,238,125,3059,Rawah,C7746,1
3189,45,27,671,69,3073,215,169,0,2770,Commanche,C7700,1
3146,68,10,845,19,2250,231,220,121,3053,Commanche,C7755,0
3044,25,10,540,10,6494,215,219,140,3554,Rawah,C7745,0
3204,334,28,335,130,1001,145,190,178,1952,Rawah,C7745,0
2948,243,17,170,55,2118,185,251,202,1266,Commanche,C7757,1
2698,31,10,134,16,2075,218,219,136,6991,Rawah,C7745,0
2746,152,12,309,30,1650,235,240,134,2148,Rawah,C4744,1
3137,9,12,376,46,1682,206,215,146,3469,Commanche,C7755,0
3233,144,2,192,12,4491,222,238,152,2069,Rawah,C8771,0
2916,117,7,424,0,4818,232,234,135,3228,Rawah,C7202,0
2819,3,24,150,20,2760,179,185,137,1899,Commanche,C7757,1
2566,134,15,60,-26,2456,243,232,114,2173,Commanche,C2703,1
3172,212,12,497,116,3070,210,251,176,258,Commanche,C7756,1
2539,45,18,182,62,891,222,197,103,1022,Cache,C4703,2
3140,122,15,323,51,192,244,227,109,3837,Neota,C7201,1
3058,340,12,150,6,342,195,223,166,726,Neota,C7201,0
2860,306,20,323,96,2509,160,224,203,1177,Commanche,C7700,1
2849,27,13,212,30,1723,214,212,131,2688,Commanche,C7702,1
2977,37,7,516,84,1024,220,224,139,1605,Commanche,C7757,1
3223,210,15,285,32,2663,207,253,178,955,Rawah,C7745,0
2747,202,20,342,-29,1337,206,253,174,949,Commanche,C2704,1
2830,90,5,150,7,2591,227,232,139,2525,Rawah,C4744,1
2549,189,24,90,34,2215,213,249,156,926,Commanche,C2705,2
2924,90,12,330,-42,376,239,220,110,331,Rawah,C7745,0
2320,247,11,379,-119,67,198,248,189,458,Cache,C4703,2
3317,148,14,558,-4,600,238,238,126,4334,Neota,C7701,1
3082,145,22,295,74,666,244,230,103,1442,Commanche,C7201,1
2996,96,15,324,29,591,242,218,101,541,Rawah,C7745,0
2466,348,22,190,63,576,174,199,160,1065,Commanche,C7755,1
2929,105,29,0,0,1084,253,191,44,1537,Commanche,C7757,0
3250,216,19,67,9,2270,197,254,188,685,Commanche,C8772,6
2766,76,11,90,11,1847,234,220,117,2801,Rawah,C7745,1
3037,346,15,582,46,4054,191,216,163,2366,Rawah,C7745,1
3138,22,17,1144,269,2836,207,201,126,1683,Commanche,C7756,1
2724,234,18,30,7,2271,186,253,201,323,Commanche,C4758,0
3472,295,18,1183,342,4202,167,232,205,2713,Commanche,C8776,6
2403,47,15,524,109,591,224,206,112,1050,Cache,C2717,5
2603,18,20,443,62,541,200,194,125,2583,Rawah,C7745,1
3131,304,28,295,101,2763,133,214,215,2681,Rawah,C7700,0
3006,100,7,433,111,2454,232,231,131,1885,Commanche,C7756,1
3002,142,3,175,20,430,223,238,151,1024,Rawah,C7202,0
2463,278,10,459,210,866,191,242,190,474,Cache,C2703,5
3272,217,12,457,49,2970,206,252,180,3031,Commanche,C7756,1
2760,45,4,30,1,871,221,231,146,2295,Commanche,C6102,4
2775,95,23,384,142,2442,249,198,65,2142,Commanche,C4703,2
3047,272,14,330,-21,1986,182,244,200,2277,Commanche,C7755,1
2977,104,15,242,38,402,244,220,101,2083,Commanche,C7757,1
2741,327,7,0,0,1116,204,233,168,2215,Commanche,C6102,4
3267,167,20,510,113,1465,232,243,132,2225,Rawah,C8772,0
3073,270,7,598,74,5532,203,242,179,3314,Rawah,C7745,1
3178,36,8,408,95,4775,220,222,138,1604,Rawah,C7745,0
3136,67,23,234,-32,1075,235,188,73,1031,Rawah,C7745,1
3250,12,10,190,28,3207,210,219,146,2032,Rawah,C7745,0
2581,116,15,0,0,765,245,224,105,2062,Rawah,C7746,1
3000,143,18,228,46,1640,243,233,111,2305,Commanche,C7756,1
2486,230,16,85,11,1050,194,253,193,892,Commanche,C2705,2
2785,147,11,30,1,2340,235,239,134,1530,Rawah,C7746,1
2907,52,12,331,94,3241,226,215,121,2297,Commanche,C7756,1
2879,0,9,408,-4,1706,206,222,154,3019,Commanche,C7202,0
3186,33,5,150,20,3922,219,229,147,1452,Rawah,C7201,0
2910,31,11,420,41,2142,217,215,132,1812,Commanche,C7755,1
2724,195,5,30,1,2032,219,244,160,1230,Rawah,C7102,1
2893,108,10,781,98,3025,238,228,120,1621,Commanche,C4703,1
3238,300,14,531,80,4256,180,234,194,859,Commanche,C7756,0
2875,240,22,210,49,1120,173,252,211,1777,Commanche,C2705,1
2732,311,24,242,71,1262,148,215,204,1299,Commanche,C7755,1
2319,22,17,190,75,242,207,200,126,808,Cache,C2703,1
3040,35,11,335,15,3124,219,215,131,5706,Rawah,C7745,1
2985,59,4,256,13,5190,223,231,143,6326,Rawah,C7102,0
2357,319,27,124,27,658,140,204,198,474,Cache,C4703,2
3226,260,5,785,42,1271,207,243,174,2260,Commanche,C7756,0
3284,137,18,626,127,1077,244,231,108,1260,Commanche,C8776,1
2959,104,21,95,-17,391,250,208,75,1262,Rawah,C7746,0
3125,63,20,450,148,674,233,195,85,1563,Rawah,C7746,0
2959,156,20,277,56,3310,238,238,120,1308,Rawah,C7745,1
3194,220,19,793,111,366,195,254,190,2577,Commanche,C7202,1
3337,343,17,769,67,3628,184,212,166,1308,Commanche,C8772,0
3025,3,18,892,156,2522,193,203,145,1440,Commanche,C7700,1
2779,51,9,175,22,552,225,221,129,2727,Commanche,C4704,1
2959,86,7,134,23,3454,230,229,132,2483,Rawah,C7745,1
2982,203,12,182,-5,5486,214,251,170,2804,Rawah,C7745,0
3037,248,4,454,99,3097,211,243,170,1050,Commanche,C7756,1
2377,55,13,424,180,890,228,211,113,1492,Cache,C2717,3
3240,51,10,247,31,5240,225,218,126,283,Rawah,C7201,0
2265,329,29,67,27,430,138,191,186,426,Cache,C4703,2
2311,17,23,342,158,1149,194,185,119,571,Cache,C4703,2
3206,99,17,30,-7,4428,245,215,93,1994,Rawah,C7202,0
2786,338,12,175,23,3102,194,223,168,3036,Rawah,C7745,0
2952,86,3,30,0,1724,224,234,145,2333,Commanche,C7202,1
3300,24,9,150,9,1852,215,220,141,4837,Neota,C7201,0
3040,113,11,124,28,272,239,229,119,1188,Commanche,C7756,1
3047,127,10,95,23,3526,237,234,127,2730,Rawah,C7746,0
2586,47,20,216,76,1443,222,193,97,1589,Commanche,C2703,5
3004,87,15,319,98,4410,241,215,100,4770,Rawah,C7745,0
2689,124,3,162,14,1517,225,237,146,1595,Commanche,C4704,1
2763,30,7,218,30,2634,218,226,143,5740,Rawah,C4744,1
2964,23,7,134,22,2099,216,225,145,2526,Commanche,C7756,1
2921,28,18,618,137,1324,210,199,119,2642,Commanche,C7757,1
2896,135,11,150,26,4281,237,235,127,5844,Rawah,C7746,1
2888,14,14,67,4,1758,206,210,139,1103,Rawah,C7745,0
2972,328,4,424,47,4221,209,234,164,5389,Rawah,C4744,1
3103,199,12,134,15,1976,215,250,168,459,Commanche,C7756,1
2476,246,3,285,42,677,213,241,166,1282,Cache,C2717,5
3046,207,29,379,109,3596,188,251,182,1149,Commanche,C4758,1
3386,130,11,828,180,664,238,234,124,134,Neota,C8771,6
3242,191,13,437,42,2361,219,250,162,1584,Commanche,C7755,1
3100,340,16,277,67,2910,185,216,168,2428,Commanche,C7757,0
3213,30,8,391,86,2241,218,223,140,3392,Commanche,C7755,0
2728,310,20,0,0,2227,161,222,199,335,Commanche,C7202,0
3031,288,13,175,41,2624,184,238,194,875,Rawah,C7745,0
2701,106,11,108,14,1273,239,227,117,685,Commanche,C4704,1
2857,57,18,552,162,931,229,200,97,417,Commanche,C7757,0
2871,106,10,376,69,2790,237,228,122,1933,Rawah,C4744,1
3033,101,12,85,10,2646,241,223,110,1360,Commanche,C7757,1
2887,74,24,426,120,560,240,187,65,1392,Rawah,C7745,1
2813,236,25,309,187,721,168,252,213,1702,Commanche,C7757,1
2677,55,4,201,15,255,222,231,145,1045,Commanche,C4704,1
3188,308,11,95,16,4356,190,233,183,3288,Rawah,C7202,0
3260,295,12,551,34,5292,187,237,190,1834,Rawah,C7745,0
3070,254,15,607,92,6192,185,248,201,1546,Rawah,C7745,1
2786,15,7,0,0,3558,214,225,148,3013,Rawah,C7202,0
2751,348,13,540,-34,618,194,217,161,655,Commanche,C4703,1
3257,209,20,85,20,3394,202,254,181,631,Commanche,C7757,0
3141,253,14,778,210,6157,188,248,198,1392,Rawah,C7745,1
3290,277,4,124,23,5826,209,240,169,618,Rawah,C7201,0
3198,31,35,592,3,900,188,143,67,1606,Neota,C7757,0
3118,256,2,391,37,1708,214,240,163,2930,Commanche,C7756,0
2718,320,8,60,10,1332,199,233,173,2356,Commanche,C4704,1
3197,38,14,150,32,3301,219,208,120,2294,Commanche,C7755,0
3353,232,13,0,0,2121,199,251,188,3572,Neota,C7756,0
2340,9,23,430,116,1199,187,187,130,485,Cache,C4703,2
2915,84,25,120,33,666,246,188,56,1782,Commanche,C7757,1
2904,261,9,295,69,2992,198,245,186,2138,Rawah,C7745,1
2925,90,14,631,46,1914,240,218,105,2789,Commanche,C7202,1
3179,351,9,212,-5,1622,205,226,159,808,Neota,C7756,0
3095,82,15,127,2,2759,240,212,98,3031,Commanche,C7700,1
2837,119,11,162,36,2963,239,230,120,2163,Rawah,C7745,1
3409,210,8,190,16,2903,214,248,169,417,Commanche,C8776,6
3235,39,26,277,63,5345,211,175,86,1560,Rawah,C7745,1
2975,224,15,570,75,5695,200,253,187,3955,Rawah,C7745,1
2271,277,15,30,0,1519,178,242,203,700,Cache,C2702,5
2772,58,13,240,11,1405,229,211,113,1008,Commanche,C4704,1
2583,51,16,175,41,891,226,205,108,1179,Commanche,C4704,1
2984,299,13,42,1,3441,183,235,192,1879,Commanche,C7201,0
2501,35,11,30,0,1804,219,215,130,939,Commanche,C4703,5
2982,67,14,437,4,3254,233,211,107,5916,Rawah,C7745,0
3403,79,10,301,54,2746,233,223,121,1485,Commanche,C8771,6
3117,108,12,424,17,2040,240,226,114,2378,Rawah,C7745,0
3178,25,20,270,81,3915,206,193,117,2001,Commanche,C8772,1
2730,289,22,210,63,1940,153,231,216,391,Commanche,C7757,1
3119,335,5,525,-66,1077,209,233,163,1113,Neota,C7202,1
3121,39,9,351,40,1423,221,219,133,3276,Commanche,C7757,0
2705,38,18,150,9,1706,217,197,110,1266,Commanche,C4704,1
3255,329,19,391,104,2854,171,214,181,537,Commanche,C7757,0
2811,326,24,242,77,2610,154,206,188,277,Commanche,C7757,0
2685,128,6,395,0,1048,230,236,140,1920,Rawah,C4744,1
2994,58,16,277,81,480,230,203,0,1476,Rawah,C7745,0
3390,100,18,162,14,2579,246,213,89,2023,Commanche,C8772,6
2624,98,7,134,20,1670,231,231,132,900,Commanche,C2703,2
3113,32,4,30,0,1987,219,230,147,2213,Commanche,C7756,1
2693,158,18,240,43,918,236,240,127,1436,Commanche,C2705,1
3039,104,6,95,6,1415,230,233,136,2717,Rawah,C7745,1
2048,138,19,30,-1,604,246,229,103,792,Cache,C2703,2
2444,35,18,342,118,1541,216,199,113,360,Cache,C2717,2
2985,153,17,228,-12,3820,238,239,125,5608,Rawah,C7746,1
2861,25,15,228,41,2364,211,205,127,2182,Rawah,C7745,1
3427,207,4,1172,221,1406,217,244,163,1739,Commanche,C8771,0
2832,82,21,201,53,3120,244,197,73,631,Commanche,C4703,1
2735,23,8,120,1,1273,216,223,144,1717,Rawah,C4744,1
2264,17,25,212,61,685,191,178,114,942,Cache,C4703,5
3422,294,19,612,212,916,164,232,207,1209,Neota,C7757,0
3176,53,17,67,-9,1482,227,201,102,2713,Rawah,C7745,0
